geoid,pct_black,pct_white,median_income,total_race_pop,black_pop,white_pop,pct_hispanic,pct_under18,pct_65plus,median_age,pct_bachelors_plus,pct_poverty
Allendale/Irvington/S. Hilton,0.8405797101449275,0.05175094856005474,51376.80587174224,16077.0,13514.0,832.0,0.059526030975928325,0.2239845742364869,0.15481744106487527,38.44595384711078,0.13932852914347502,0.17095535990613117
Beechfield/Ten Hills/West Hills,0.7367670646943504,0.16788451256460524,60894.18588486901,11222.0,8268.0,1884.0,0.05605061486366063,0.23266797362324007,0.1938157191231509,39.06130814471574,0.3282219349577989,0.104040701149762
Belair-Edison,0.8568017510114744,0.08357100218876434,52911.91384227631,15077.0,12918.0,1260.0,0.0412548915566757,0.2556211447900775,0.13285136300324996,38.01570604231611,0.18691645809931703,0.2109866380907034
Brooklyn/Curtis Bay/Hawkins Point,0.31029986962190353,0.34519518367973007,40402.55495053301,13039.0,4046.0,4501.0,0.31367436153079215,0.2880589002224097,0.0852059206994401,33.13757956898535,0.10363807975461731,0.28882588218520766
Canton,0.05348004094165814,0.8142272262026612,152795.6214176049,7816.0,418.0,6364.0,0.09774820880245644,0.106064483111566,0.09736438075742064,34.795585977482084,0.8365596760703449,0.04102430312217435
Cedonia/Frankford,0.8354600676749969,0.09939255575033634,57845.577602022095,24529.0,20493.0,2438.0,0.025398507888621587,0.23727017000285372,0.11366138040686531,34.999404786171475,0.22782111875576969,0.17123937162931016
Cherry Hill,0.9381587301587302,0.010920634920634921,32208.204063492063,7875.0,7388.0,86.0,0.038095238095238036,0.38006349206349205,0.11644444444444442,25.74380952380952,0.0648405168076935,0.42488888888888887
Chinquapin Park/Belvedere,0.7224552039649257,0.16914474520269412,70252.08006099885,7869.0,5685.0,1331.0,0.07586732748760959,0.16355318337781166,0.15935951200914977,42.65112466641251,0.29395608362273196,0.10449188227495505
Clifton-Berea,0.9014399552635258,0.04795190829022788,42280.11627906977,7153.0,6448.0,343.0,0.03495037047392701,0.21711170138403468,0.1708374108765553,41.37216552495456,0.13549864109600354,0.2806174104873388
Cross-Country/Cheswolde,0.27348343611071274,0.6456331564606339,76272.8196615517,13946.0,3814.0,9004.0,0.05521296429083603,0.3350781586117883,0.14914670873368707,31.05034418471246,0.5169192326494657,0.07323295798851592
Dickeyville/Franklintown,0.7790542345711996,0.13144536468073736,58842.0,3743.0,2916.0,492.0,0.0251135452845311,0.1560245792145338,0.1570932407160032,33.4,0.3435626102292769,0.1634040239260467
Dorchester/Ashburton,0.9086092715231788,0.032229580573951436,48593.014481236205,11325.0,10290.0,365.0,0.03814569536423835,0.14516556291390725,0.2020309050772627,45.2317880794702,0.23971541540818636,0.21838894522761199
Downtown/Seton Hill,0.5069430051813472,0.33243523316062173,62751.76031088083,9650.0,4892.0,3208.0,0.07295336787564767,0.0812435233160621,0.03626943005181339,30.67844559585492,0.6190062829172159,0.2062713279780215
Edmondson Village,0.9311772315653298,0.015265200517464425,44218.95937904269,7730.0,7198.0,118.0,0.025873221216041364,0.28175937904269077,0.19366106080206982,36.40424320827943,0.13987668181292237,0.2557997345708941
Fells Point,0.12355524734165511,0.7037679149329634,102921.41227461859,8652.0,1069.0,6089.0,0.11118816458622281,0.08148404993065181,0.09211742949607021,33.56228617660657,0.7427534299388368,0.10688745701053529
Forest Park/Walbrook,0.846370747680553,0.038202655994178644,71888.58595597598,10994.0,9305.0,420.0,0.07731489903583771,0.2809714389667091,0.14080407494997269,36.498035291977445,0.27413221476638017,0.1863899632414432
Glen-Fallstaff,0.5759975861808856,0.27245983254129896,51820.80078449121,13257.0,7636.0,3612.0,0.08569057856226894,0.23942068341253678,0.21286867315380553,41.077709889115184,0.3431798320532227,0.16246414927724626
Greater Charles Village/Barclay,0.3274741809725737,0.4442924560563573,50923.91833663908,14621.0,4788.0,6496.0,0.09212776143902601,0.10915806032419118,0.09958279187470075,31.63617399630668,0.6052216203737235,0.27830541417847676
Greater Govans,0.8738020889415312,0.0647141165069452,56820.8188866157,9287.0,8115.0,601.0,0.045762894368471994,0.22138473134489065,0.19672660708517273,40.57633250780661,0.2222860248056359,0.18385234868374817
Greater Lauraville,0.5810366624525917,0.33173198482933,82775.67728613569,11865.0,6894.0,3936.0,0.05318162663295404,0.2108723135271807,0.14791403286978505,41.771285292878204,0.42747230548756826,0.15417098096976853
Greater Mondawmin,0.9259622723803294,0.022353069458074366,43560.99225820521,9171.0,8492.0,205.0,0.022680187547704678,0.2084832624577472,0.20183186130193,37.809377385236075,0.16404544285778552,0.28262306011405863
Greater Roland Park/Poplar Hill,0.08740589511292586,0.6691335970396836,136482.01352558378,7837.0,685.0,5244.0,0.14099783080260297,0.27382927140487434,0.21781293862447365,43.18244226106929,0.8297618473053227,0.0417442630389416
Greater Rosemont,0.9599430967355496,0.014300688828990715,36477.70530098832,13356.0,12821.0,191.0,0.014824797843665756,0.2112159329140461,0.15745732255166212,37.471900269541784,0.08279028912409162,0.2787481871624583
Greektown/Bayview,0.09313777968097633,0.46740177711165826,60248.057167326835,9341.0,870.0,4366.0,0.4435285301359597,0.3120650893908575,0.0981693608821325,34.03599186382615,0.2585892860062655,0.23705928334830514
Hamilton,0.6258224386909339,0.3106895667777493,75970.34905579766,11703.0,7324.0,3636.0,0.021105699393317915,0.23737503204306581,0.18644791933692215,41.50064940613519,0.3428018696818634,0.13825110087546927
Hamilton Hills,0.5636645001547509,0.3559269575982668,81898.15586505726,16155.0,9106.0,5750.0,0.05317239244815841,0.17579696688331783,0.15035592695759825,42.287211389662644,0.34969180240940373,0.06618805714338911
Hampden/Remington,0.08330663248958667,0.762255687279718,90115.91220762576,15605.0,1300.0,11895.0,0.07580903556552385,0.0940083306632489,0.1675744953540532,38.11434796539571,0.6265336933837667,0.10300661414870499
Harbor East/Little Italy,0.40186125211505924,0.4714467005076142,83956.56852791877,4728.0,1900.0,2229.0,0.09644670050761414,0.13726734348561756,0.10829103214890012,37.6,0.46800266199068064,0.286864502283284
Highlandtown,0.09616381544841887,0.7340590979782271,118535.47122861586,7716.0,742.0,5664.0,0.10614307931570753,0.1174183514774494,0.07840850181441156,34.18265940902022,0.653705906480257,0.08877656817003622
Howard Park/West Arlington,0.8922434254248552,0.03151998480964587,63120.791227570495,10533.0,9398.0,332.0,0.040824076711288314,0.18152473179530992,0.2285198898699326,46.95377385360296,0.24075457679057682,0.22896892868594546
Inner Harbor/Federal Hill,0.11426130184868728,0.764874941743048,122272.89560354203,12874.0,1471.0,9847.0,0.047459996892962514,0.09344415100201954,0.1620320024856299,34.744904458598725,0.7728282979187647,0.08676023143639855
Loch Raven,0.8935110306010222,0.06307821698906645,60364.63666947014,15457.0,13811.0,975.0,0.056285178236397705,0.23400401112764443,0.17086109853140968,37.004166397101635,0.26956511319795495,0.11817442496738476
Madison/East End,0.77344336084021,0.018604651162790697,50815.75138784696,6665.0,5155.0,124.0,0.06421605401350335,0.3188297074268566,0.09707426856714176,31.336069017254317,0.15976715296977545,0.3592763368540211
Midtown,0.3163348786473957,0.47593400599945457,59874.59715025907,14668.0,4640.0,6981.0,0.06810744477774745,0.06272157076629392,0.15353149713662395,37.20479274611399,0.6401264618487852,0.18713547488624865
Midway/Coldstream,0.9157071783937456,0.01904761904761905,38034.83113006397,7035.0,6442.0,134.0,0.046624022743425704,0.27078891257995735,0.129637526652452,31.1344420753376,0.09615595322746658,0.34257512870129797
Morrell Park/Violetville,0.27356650630607204,0.5958913015212586,47409.59095046158,7691.0,2104.0,4583.0,0.09504615784683389,0.23221947731114284,0.22025744376544007,43.77008191392536,0.1632814666997503,0.23123508292755726
Mount Washington/Coldspring,0.2801803306061112,0.5318083152446151,101198.48889630991,5989.0,1678.0,3185.0,0.12790115211220562,0.24044080814827185,0.19318751043579893,43.387560527633994,0.6188771952353234,0.09100016697278335
North Baltimore/Guilford/Homeland,0.17065058067425865,0.6147254481903258,169312.8523508851,17738.0,3027.0,10904.0,0.07481113992558344,0.17617544255271167,0.1509189311083549,33.12449543353253,0.7784699787309974,0.07126328367049346
Northwood,0.8076806773510735,0.11418203810099789,71505.36722104627,16535.0,13355.0,1888.0,0.031146053825219185,0.18131236770486847,0.16631387964922886,34.16960991835501,0.39785801795948467,0.11940209766339742
Oldtown/Middle East,0.814143988349868,0.10476017111131337,33031.58642031492,10987.0,8945.0,1151.0,0.02976244652771454,0.23600618913261123,0.1278784017475198,33.04023846363884,0.2146116804057008,0.4436558372944702
Oliver/Johnston Square,0.919501515661839,0.02155607948804311,38220.39289323004,5938.0,5460.0,128.0,0.06315257662512629,0.2689457729875379,0.163523071741327,36.93038059952847,0.1480140652382839,0.31512093953188197
Orchard Ridge/Armistead,0.6745668912415784,0.16903272377285852,42194.37848893167,8312.0,5607.0,1405.0,0.16470163618864292,0.21595283926852743,0.17047641963426366,40.02343599615014,0.0931619474568424,0.24963907603464863
Patterson Park North & East,0.2923453455987847,0.52071904802093,98590.65710186513,11849.0,3464.0,6170.0,0.11089543421385771,0.187104396995527,0.103299856527977,32.92179086842771,0.5914502989182653,0.1511345840093949
Penn North/Reservoir Hill,0.846553966189857,0.11172518422193324,45249.59449501517,9228.0,7812.0,1031.0,0.017121803207628888,0.2116384915474642,0.13307325530992625,38.204074555700046,0.2533199144314403,0.24999144632749262
Pigtown/Carroll Park,0.5435307221087804,0.2806757007610915,62333.94263968814,5387.0,2928.0,1512.0,0.06868386857248926,0.15852979394839425,0.10339706701317984,33.230035270094675,0.4456374235614262,0.2465972203534854
Pimlico/Arlington/Hilltop,0.8760556950467929,0.07258616754165716,41712.92609915809,8762.0,7676.0,636.0,0.013353115727002932,0.24629080118694363,0.224377995891349,42.14498972837252,0.13457609888009384,0.2894753396990768
Poppleton/The Terraces/Hollins Market,0.8542571266754767,0.10307721351708514,32899.93411364924,5297.0,4525.0,546.0,0.0056635831602793755,0.22805361525391724,0.09439305267132335,32.98627525014159,0.24059915276395138,0.46063058395650597
Sandtown-Winchester/Harlem Park,0.9164695177434031,0.03366696997270246,33460.043494085534,10990.0,10072.0,370.0,0.01983621474067332,0.1928116469517743,0.20345768880800724,45.918762511373984,0.08595849966240443,0.31406282598315
South Baltimore,0.08140575079872205,0.796038338658147,148949.40677316295,7825.0,637.0,6229.0,0.06913738019169323,0.13214057507987215,0.059680511182108605,32.67078594249202,0.7907706867132765,0.057507987220447226
Southeastern,0.2593068035943517,0.32374839537869066,49924.485879332475,7790.0,2020.0,2522.0,0.4446726572528883,0.37329910141206674,0.08613607188703462,28.678793324775352,0.11149598739511292,0.24328889154252617
Southern Park Heights,0.9020961145194274,0.04652351738241309,44105.21634287662,11736.0,10587.0,546.0,0.03280504430811174,0.26133265167007497,0.21617246080436264,40.274275732788006,0.15947606218835006,0.25275752459298084
Southwest Baltimore,0.7270574787720444,0.14655453951665579,41862.07793046205,12248.0,8905.0,1795.0,0.08670803396472891,0.20272697583278904,0.16051600261267143,43.028151534944485,0.10995539067533476,0.29068224109691343
The Waverlies,0.7606073506456649,0.1721299843905208,57575.20221370796,7047.0,5360.0,1213.0,0.02398183624237258,0.18773946360153254,0.1806442457783454,40.41528309919114,0.3226624493449525,0.28736012826645974
Unassigned -- Jail,0.7716324710080286,0.13157894736842105,,2242.0,1730.0,295.0,0.0530776092774308,0.0,0.0071364852809991,32.0,0.003338898163606,
Upton/Druid Heights,0.8792321116928447,0.06783013379872019,31097.931122745784,8595.0,7557.0,583.0,0.025014543339150614,0.22885398487492725,0.1422920302501454,36.21014543339151,0.1588033310058561,0.4186154741128563
Westport/Mount Winans/Lakeland,0.44033561218147915,0.08048477315102548,36204.312461156,6436.0,2834.0,518.0,0.40102548166563085,0.3828464885021752,0.09819763828464881,29.275497203231822,0.0807657141274255,0.3635822734450669
