city,population,in_cohort,status,evidence,derived,availability_license,granularity,history_depth,update_cadence,api_access,standardization,field_completeness,geocoding_coverage,documentation,note
"San Francisco, CA",836321,True,scoreable,city_docs,False,3,3,3,3,3,3,3,3,3,Socrata vw6y-z8j6; since 2008; daily
"New York, NY",8516202,True,scoreable,city_docs,False,3,3,3,3,3,2,3,3,3,"Socrata erm2-nwe9; created_date, closed_date, lat/lon"
"Chicago, IL",2707648,True,scoreable,city_docs,False,3,3,2,3,3,2,3,3,3,"Socrata v6vf-nfxy; created_date, closed_date, lat/lon"
"Boston, MA",663972,True,scoreable,api,False,3,3,3,3,3,2,3,2,3,Analyze Boston; multiple years; Open311 API
"Philadelphia, PA",1582432,True,scoreable,city_docs,False,3,3,3,3,3,2,2,2,3,"Carto public_cases_fc; requested_datetime, API"
"Baltimore, MD",577193,True,scoreable,api,False,3,3,3,2,3,3,3,2,2,Per-year ArcGIS; 2016-present; API confirmed
"Washington, DC",672079,True,scoreable,city_docs,False,3,3,2,3,3,1,2,3,3,ArcGIS per-year since 2016
"Austin, TX",967862,True,scoreable,city_docs,False,3,3,3,3,3,1,3,2,2,Socrata xwdj-i9he; since 2014; half-hourly
"Kansas City, MO",508233,True,scoreable,api,False,3,3,2,3,3,1,3,2,2,OpenData KC Socrata; daily; API
"St. Louis, MO",301578,False,scoreable,api,True,3,3,2,2,3,2,2,2,2,CSB Request API (Open311 v2); requires key
"San Antonio, TX",1434625,False,scoreable,city_docs,True,3,3,3,2,3,1,2,2,2,ArcGIS Open Data SA; since 2011
"Los Angeles, CA",3857897,False,scoreable,city_docs,True,3,3,2,2,3,1,2,2,2,MyLA311 Socrata; annual datasets 2018–2025
"Dallas, TX",1299553,False,scoreable,city_docs,True,3,3,2,2,3,1,2,2,2,Socrata; since Oct 2018
"Louisville, KY",633045,False,scoreable,api,True,3,3,2,2,3,1,2,2,2,LOJIC ArcGIS Hub; 2014-2025; weekly
"New Orleans, LA",383997,False,scoreable,api,True,3,3,2,2,3,1,2,2,2,DataDriven ArcGIS Hub; GIS API support
"Pittsburgh, PA",302971,False,scoreable,api,True,3,3,2,2,3,1,2,2,2,WPRDC CKAN; historical + new system Feb 2025
"Minneapolis, MN",429954,False,scoreable,api,True,3,3,2,2,3,1,2,2,2,ArcGIS FeatureServer; 525K+ records; Jan 2021+
"Sacramento, CA",524943,False,scoreable,city_docs,True,3,3,2,2,3,1,2,2,2,Sacramento 311 Socrata portal
"Raleigh, NC",467665,False,scoreable,api,True,3,3,2,2,3,1,2,2,2,Open Data Raleigh ArcGIS; 311 present
"Memphis, TN",629063,False,scoreable,api,True,3,3,2,2,3,1,2,2,2,Migrated off Socrata (data.memphistn.gov retired) to OPM ArcGIS FeatureServer
"Charlotte, NC",874579,False,scoreable,city_docs,True,3,3,2,2,3,1,2,2,2,ArcGIS ServiceRequests311 MapServer
"Nashville, TN",709846,True,scoreable,city_docs,False,3,3,2,2,3,1,2,2,2,hubNashville ArcGIS; annual + current
"Seattle, WA",741440,False,scoreable,city_docs,True,3,3,2,2,3,1,2,2,2,Socrata 43nw-pkdq; Find It Fix It
"San Diego, CA",1386932,False,scoreable,city_docs,True,3,3,1,2,3,1,2,2,2,Get It Done; annual CSV + rolling; lat/lng
"Portland, OR",652503,False,partial,api,True,2,2,1,1,3,2,1,1,1,SeeClickFix; Open311 API; no bulk export
"San Jose, CA",1013240,False,partial,city_docs,True,2,2,1,3,1,0,1,1,1,Open Data; daily; limited doc
"Detroit, MI",639111,False,partial,api,True,2,2,1,1,3,0,1,1,1,Improve Detroit ArcGIS; app-channel only
"Tucson, AZ",542629,False,partial,api,True,2,2,1,1,3,0,1,1,1,Tucson GIS portal; 311 API unclear
"Phoenix, AZ",1608139,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,ArcGIS; 7-day lookback per docs
"Atlanta, GA",498715,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,DataAtlanta portal; ATL311 not API-accessible
"Fort Worth, TX",918915,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,Socrata portal; 311 unclear
"Houston, TX",2304580,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,ArcGIS; rolling 7-day closed cases only
"Albuquerque, NM",564559,False,partial,third_party,True,2,2,1,1,1,0,1,1,1,ABQ311 via SeeClickFix; no central export
"Indianapolis, IN",887642,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,Open Indy portal; 311 not confirmed
"Cincinnati, OH",309317,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,"Tyler Data & Insights Socrata; dataset now returns ""must be logged in"" on every API path (resource/ and api/views/rows) regardless of app token/API key — not fetchable headlessly as of June 2026"
"Denver, CO",715522,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,ArcGIS; rolling 12 months only
"Columbus, OH",905748,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,GIS map; no downloadable dataset
"Fresno, CA",542107,False,partial,city_docs,True,2,2,1,1,1,0,1,1,1,Fresno GIS Hub ArcGIS; no 311 export
"Jacksonville, FL",949611,False,unconfirmed,third_party,True,0,0,0,0,0,0,0,0,0,National 311 Data Portal; no direct API
"El Paso, TX",678815,False,unconfirmed,city_docs,True,0,0,0,0,0,0,0,0,0,Open data portal; 311 not clearly listed
"Oklahoma City, OK",681054,False,unconfirmed,city_docs,True,0,0,0,0,0,0,0,0,0,data.okc.gov; 311 not published
"Colorado Springs, CO",478961,False,unconfirmed,none,True,0,0,0,0,0,0,0,0,0,GoCOS portal; CORA records only
"Milwaukee, WI",577222,False,unconfirmed,city_docs,True,0,0,0,0,0,0,0,0,0,Portal exists; 311 status unclear
"Mesa, AZ",504258,False,unconfirmed,city_docs,True,0,0,0,0,0,0,0,0,0,Mesa Data Hub; no 311-specific dataset
"Omaha, NE",486051,False,unconfirmed,third_party,True,0,0,0,0,0,0,0,0,0,Omaha Hotline; interactive map; no API
