geoid,nsa_name
24510151200,Park Circle
24510270702,Hamilton Hills
24510272004,Cheswolde
24510270501,Overlea
24510090700,Coldstream Homestead Montebello
24510180300,Hollins Market
24510270703,North Harford Road
24510010300,Patterson Park
24510060300,Butchers Hill
24510260203,Frankford
24510270701,Hamilton Hills
24510271101,Loyola/Notre Dame
24510090500,Better Waverly
24510190300,Mount Clare
24510230100,Sharp-Leadenhall
24510070400,Middle East
24510100100,Johnston Square
24510270502,Rosemont East
24510150900,Windsor Hills
24510250303,Morrell Park
24510271802,Central Park Heights
24510120201,Abell
24510170300,Upton
24510200702,Saint Josephs
24510271700,Levindale
24510270600,Hamilton Hills
24510261000,Patterson Park Neighborhood
24510200500,Millhill
24510200800,Irvington
24510260800,Highlandtown
24510010500,Upper Fells Point
24510260403,Pulaski Industrial Area
24510270302,Waltherson
24510130200,Reservoir Hill
24510120600,Old Goucher
24510272007,Fallstaff
24510150702,Walbrook
24510090400,Better Waverly
24510250102,Yale Heights
24510020100,Upper Fells Point
24510271503,Cross Keys
24510120202,Johns Hopkins Homewood
24510040200,University of Maryland
24510080400,Broadway East
24510080700,Broadway East
24510280200,Howard Park
24510260102,Frankford
24510060200,Patterson Park Neighborhood
24510271002,Winston-Govans
24510160400,Midtown-Edmondson
24510240300,Riverside
24510210100,Carroll - Camden Industrial Area
24510030100,Washington Hill
24510120300,Harwood
24510260402,Frankford
24510080102,Belair-Edison
24510200300,Carrollton Ridge
24510271300,North Roland Park/Poplar Hill
24510150500,Liberty Square
24510090100,Ednor Gardens-Lakeside
24510271801,Arlington
24510200400,Shipley Hill
24510100300,Penn-Fallsway
24510130803,Medfield
24510190200,Mount Clare
24510270802,Ramblewood
24510260700,Canton Industrial Area
24510170100,Seton Hill
24510260604,O'Donnell Heights
24510271900,Glen
24510080302,Berea
24510260303,Orchard Ridge
24510240200,
24510271001,Wilson Park
24510070100,Madison-Eastend
24510150701,Hanlon-Longwood
24510160300,Harlem Park
24510160100,Harlem Park
24510151100,Ashburton
24510271200,Homeland
24510280102,Grove Park
24510151300,Central Park Heights
24510140100,Bolton Hill
24510230300,Baltimore Peninsula
24510090600,Coldstream Homestead Montebello
24510260202,Parkside
24510160801,Edmondson Village
24510250103,Violetville
24510270903,Hillen
24510010100,Canton
24510160600,Mosher
24510120100,Guilford
24510280301,Wakefield
24510090200,Montebello
24510150400,Mondawmin
24510272005,Cross Country
24510130806,Woodberry
24510020200,Upper Fells Point
24510280101,Reisterstown Station
24510260401,Armistead Gardens
24510200200,Penrose/Fayette Street Outreach
24510260605,Canton Industrial Area
24510160802,Gwynns Falls/Leakin Park
24510130100,Reservoir Hill
24510120400,Barclay
24510260501,Bayview
24510130805,Coldspring
24510080800,Middle East
24510270803,Loch Raven
24510271102,Guilford
24510130300,Penn North
24510100200,Oldtown
24510090300,Ednor Gardens-Lakeside
24510160200,Harlem Park
24510160700,Rosemont
24510150100,Sandtown-Winchester
24510250207,Cherry Hill
24510240400,
24510240100,Locust Point Industrial Area
24510070300,Middle East
24510270301,Lauraville
24510272003,Cheswolde
24510130600,Hampden
24510271400,Roland Park
24510120700,Remington
24510270805,Mid-Govans
24510200701,Allendale
24510160500,Bridgeview/Greenlawn
24510270804,Lake Walker
24510270901,New Northwood
24510270401,Hamilton
24510270402,Hamilton
24510260101,Cedmont
24510261100,Canton
24510260301,Belair-Edison
24510250206,Morrell Park
24510220100,Otterbein
24510030200,Little Italy
24510010200,Patterson Park
24510080101,Clifton Park
24510260404,Kresson
24510130400,Druid Hill Park
24510260302,Belair-Edison
24510250203,Middle Branch/Reedbird Parks
24510080500,South Clifton Park
24510090900,Oliver
24510110100,Mount Vernon
24510280404,Uplands
24510270801,Idlewood
24510250600,Fairfield Area
24510080301,Berea
24510200100,Penrose/Fayette Street Outreach
24510271600,Parklane
24510140300,Druid Heights
24510280500,Oldtown
24510130700,Hampden
24510270101,Arcadia
24510150300,Coppin Heights/Ash-Co-East
24510151000,Dorchester
24510280302,West Forest Park
24510270102,Waltherson
24510250205,Cherry Hill
24510280402,Rognel Heights
24510271501,Mount Washington
24510230200,South Baltimore
24510120500,Greenmount West
24510080200,Berea
24510010400,
24510060100,Patterson Park Neighborhood
24510140200,Upton
24510250500,Hawkins Point
24510250301,Westport
24510090800,East Baltimore Midway
24510070200,Milton-Montford
24510020300,Fells Point
24510270200,Lauraville
24510280403,Ten Hills
24510270902,Perring Loch
24510280401,West Hills
24510260201,Frankford
24510040100,Downtown
24510150800,Garwyn Oaks
24510210200,Carroll Park
24510150200,Easterwood
24510250204,Cherry Hill
24510260900,Brewers Hill
24510190100,Franklin Square
24510250402,Brooklyn
24510200600,Carroll-South Hilton
24510170200,Upton
24510272006,Glen
24510250401,Brooklyn
24510130804,Hampden
24510150600,Walbrook
24510250101,Beechfield
24510110200,Mid-Town Belvedere
24510280600,Poppleton
24510080600,Broadway East
24510060400,Dunbar-Broadway
